factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope
rtl_seg,2113,0.15,1540,5,3,5,1,12,paved,3,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,2135,0.13,220,5,0,5,1,12,composite,1.5,0,0,0,0,3,0,0,0,0,0,7.483197071,4.5,0,8
rtl_seg,2187,0.16,3410,5,2,5,1,12,composite,6,0,0,0,0,2,0,0,0,0,0,6.159038706,1.5,0,8
rtl_seg,2192,0.12,2630,5,1,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,2197,0.24,2710,5,4,5,1,12,composite,6,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,2215,0.89,6204,5,7,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,2221,0.11,494,5,0,5,1,12,composite,2,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,2231,0.76,234,5,1,5,1,12,gravel,3,24918.20888,0.760602266,0,0.06,3,0,0,0,0,0,2.62949519,1.5,0,8
rtl_seg,2314,0.17,1390,5,0,5,1,12,gravel,8,2042.027536,0.169012865,0,0.06,1,0,0,0,0,0,0,4.5,0,8
rtl_seg,2339,0.31,2998,5,2,5,1,12,gravel,6,5386.975078,0.309875934,0,0.06,3,0,0,0,0,0,6.454195963,1.5,0,8
rtl_seg,2340,0.14,2998,5,3,5,1,12,gravel,6,6271.096177,0.141510708,0,0.06,4,0,0,0,0,0,0,1.5,0,8
rtl_seg,2414,0.12,1140,5,2,5,1,12,gravel,2,1537.162149,0.122501401,0,0.06,3,0,0,0,0,0,0,4.5,0,8
rtl_seg,2429,0.1,1140,5,0,5,1,12,gravel,2,637.1916327,0.100436022,0,0.06,3,0,0,0,0,0,19.91317416,4.5,0,8
rtl_seg,2431,0.18,340,5,1,5,1,12,gravel,2,714.6161726,0.184656458,0,0.06,3,0,0,0,0,0,5.415461825,4.5,0,8
rtl_seg,2531,0.1,432,5,0,5,1,12,gravel,4,760.3116917,0.104782838,0.5,0.06,4,0,0,0,0,0,0,1.5,0,8
rtl_seg,2553,0.14,432,5,1,5,1,12,gravel,4,1999.376616,0.142733167,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,2578,0.55,1180,5,6,5,1,12,gravel,3,2833.628708,0.546220892,0,0.06,3,0,0,0,0,0,3.661522343,4.5,0,8
rtl_seg,2619,0.26,712,5,0,5,1,12,gravel,7,1222.7625,0.260201244,0,0.06,3,0,0,0,0,0,3.843179173,1.5,0,8
rtl_seg,2658,0.24,3134,5,2,5,1,12,gravel,8,2484.980385,0.23906945,0,0.06,3,0,0,0,0,0,12.54865479,1.5,0,8
rtl_seg,2661,0.37,3134,5,7,5,1,12,gravel,8,4420.439694,0.366794851,0,0.06,2,0,0,0,0,0,10.90527849,1.5,0,8
rtl_seg,2674,0.14,1144,5,3,5,1,12,gravel,6,1826.870193,0.14435665,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,2686,0.13,1144,5,3,5,1,12,gravel,6,1169.593228,0.134356123,0,0.06,4,0,0,0,0,0,14.88581203,1.5,0,8
rtl_seg,2699,0.14,990,5,2,5,1,12,gravel,6,1290.324796,0.143266754,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,2714,0.33,860,5,3,5,1,12,gravel,1,1924.87868,0.332923874,0,0.06,4,0,0,0,0,0,9.011069005,1.5,0,8
rtl_seg,2725,0.11,746,5,0,5,1,12,gravel,1.5,841.7191862,0.112892053,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,2748,0.11,746,5,1,5,1,12,gravel,1.5,2016.099208,0.110260518,0,0.06,3,0,0,0,0,0,9.069429582,1.5,0,8
rtl_seg,2819,0.3,4260,5,2,5,1,12,gravel,6,2197.660782,0.296199468,0,0.06,3,0,0,0,0,0,0,4.5,0,8
rtl_seg,2918,0.2,1150,5,2,5,1,12,gravel,8,3598.950118,0.20353367,0,0.06,2,0,0,0,0,0,4.913192003,1.5,0,8
rtl_seg,2993,0.46,1206,5,8,5,1,12,gravel,3,2270.383933,0.458112398,0.5,0.06,4,0,0,0,0,0,4.365740828,1.5,0,8
rtl_seg,3027,0.1,1106,5,0,5,1,12,gravel,3.5,736.8504017,0.101528745,0,0.06,5,0,0,0,0,0,0,1.5,0,8
rtl_seg,3045,0.17,1392,5,1,5,1,12,gravel,7,1142.522994,0.166358003,0,0.06,2,0,0,0,0,0,24.0445301,1.5,0,8
rtl_seg,3089,0.19,1060,5,1,5,1,12,gravel,2,2010.652902,0.191239493,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,3113,0.1,930,5,1,5,1,12,gravel,2,747.0833524,0.104958098,0,0.06,5,0,0,0,0,0,0,1.5,0,8
rtl_seg,3132,0.11,850,5,1,5,1,12,gravel,7,2485.669433,0.114996801,0,0.06,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,3140,0.16,800,5,1,5,1,12,gravel,8,784.1863908,0.164345076,0,0.06,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,3164,0.14,1216,5,3,5,1,12,gravel,6,4420.374013,0.135951303,0,0.06,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,3167,0.13,1216,5,2,5,1,12,gravel,6,1996.319051,0.126744161,0,0.06,5,0,0,0,0,0,0,1.5,0,8
rtl_seg,3193,0.13,5710,5,4,5,1,12,gravel,8,1310.708696,0.125291396,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,3203,0.22,2888,5,5,5,1,12,gravel,0,1622.404916,0.221007572,0,0.06,4,0,0,0,0,0,0,1.5,0,8
rtl_seg,3238,0.16,6102,5,3,5,1,12,gravel,8,1960.328132,0.160480154,0,0.06,1,0,0,0,0,0,0,1.5,0,8
rtl_seg,3245,0.11,4740,5,1,5,1,12,gravel,8,1339.337349,0.112312087,0,0.06,2,1,0,0,0,0,0,1.5,0,8
rtl_seg,3279,0.15,560,5,0,5,1,12,gravel,1.5,1020.524966,0.14635846,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,3322,0.23,6260,5,2,5,1,12,gravel,8,5342.093411,0.227195167,0,0.06,3,0,0,0,0,0,4.40150207,1.5,0,8
rtl_seg,3332,0.19,2902,5,4,5,1,12,gravel,8,1806.486293,0.18811758,0,0.06,2,0,0,0,0,0,10.63164856,1.5,0,8
rtl_seg,3360,0.19,5180,5,4,5,1,12,gravel,8,4675.787727,0.187796627,0,0.06,2,1,0,0,0,0,0,1.5,0,8
rtl_seg,3364,0.11,620,5,1,5,1,12,gravel,3,547.9494906,0.10680704,1,0.06,4,0,0,0,0,0,9.362678698,1.5,0,8
rtl_seg,3380,0.11,574,5,0,5,1,12,gravel,3,3084.12737,0.114825963,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,3449,0.12,514,5,0,5,1,12,gravel,3,612.4737953,0.117604632,0,0.06,6,0,0,0,0,0,0,1.5,0,8
rtl_seg,3452,0.29,1462,5,0,5,1,12,gravel,8,3589.829687,0.288653571,0,0.06,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,3582,0.1,1180,5,0,5,1,12,gravel,8,1805.12802,0.101797877,0,0.06,3,0,0,0,0,0,9.823387554,1.5,0,8
rtl_seg,3598,0.26,500,5,1,5,1,12,composite,2.5,0,0,0,0,3,0,0,0,0,0,11.76355849,1.5,0,8
rtl_seg,3630,0.18,1438,5,2,5,1,12,paved,2,0,0,0,0,4,0,0,0,0,0,5.570829617,1.5,0,8
rtl_seg,3638,0.17,1438,5,0,5,1,12,composite,2,0,0,0,0,3,0,0,0,0,0,6.032860656,1.5,0,8
rtl_seg,3672,0.14,1360,5,0,5,1,12,composite,8,0,0,0,0,3,0,0,0,0,0,0,4.5,0,8
rtl_seg,3683,0.52,5380,5,7,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,3.851631661,1.5,0,8
rtl_seg,3689,0.57,1356,5,5,5,1,12,paved,6,0,0,0,0,3,0,0,0,0,0,1.739444791,1.5,0,8
rtl_seg,3702,0.13,5380,5,3,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,3714,0.42,2998,5,4,5,1,12,paved,6,0,0,0,0,3,0,0,0,0,0,2.40093729,1.5,0,8
rtl_seg,3716,0.14,2998,5,4,5,1,12,paved,6,0,0,0,0,3,0,0,0,0,0,6.943307191,1.5,0,8
rtl_seg,3740,0.18,2824,5,1,5,1,12,composite,8,0,0,0,0,2,0,0,0,0,0,11.01892064,1.5,0,8
rtl_seg,3808,0.19,340,5,0,5,1,12,composite,2,0,0,0,0,3,0,0,0,0,0,10.7455313,4.5,0,8
rtl_seg,3820,0.11,340,5,1,5,1,12,composite,4,0,0,0,0,4,0,0,0,0,0,0,4.5,0,8
rtl_seg,3839,0.29,2650,5,0,5,1,12,composite,7.5,0,0,0,0,5,0,0,0,0,0,6.841171531,4.5,0,8
rtl_seg,3864,0.18,810,5,0,5,1,12,composite,2,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,3872,0.2,432,5,0,5,1,12,composite,4,0,0,0,0,6,0,0,0,0,0,0,1.5,0,8
rtl_seg,3899,0.15,2020,5,0,5,1,12,composite,7.5,0,0,0,0,4,1,0,0,0,0,6.769051703,4.5,0,8
rtl_seg,3901,0.54,5770,5,22,5,1,12,paved,8,0,0,0,0,3,0,0,0,0,0,11.0810768,1.5,0,8
rtl_seg,3934,0.17,482,5,0,5,1,12,composite,6,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,3941,0.12,712,5,0,5,1,12,composite,7,0,0,0,0,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,3966,0.29,712,5,0,5,1,12,composite,7,0,0,0,0,2,0,0,0,0,0,13.74943609,1.5,0,8
rtl_seg,3974,0.18,1140,5,1,5,1,12,composite,2,0,0,0,0,2,0,0,0,0,0,0,1.5,0,8
