factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope,spf_kabco,af_lane_width,af_shld,af_hor_curve,af_se_var,af_grade,af_dwy_density,af_rumble_cl,af_passing_lanes,af_twltl,af_rhr,af_lighting,af_ase,af_total,pred_kabco,exp_kabco,spf_kabc,spf_kab,spf_o,af_sideslope,af_median_width
4d,9208,0.87,16908,5.0,14,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,50,8,2.852859031173637,1.0,1.0,,,,,,,,,1.0,1.0,0.97,13.83636630119214,13.962631675562982,1.4196172933490447,0.8733680515348949,1.4332417378245923,1.0,0.97
4d,9209,0.97,16908,5.0,19,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,50,8,3.1807738623430204,1.0,1.0,,,,,,,,,1.0,1.0,0.97,15.426753232363648,18.183992994845482,1.5827916948834175,0.9737551838952276,1.5979821674596029,1.0,0.97
4d,9210,0.73,16208,5.0,38,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,50,8,2.289925381979171,1.0,1.0,,,,,,,,,1.0,1.0,0.97,11.10613810259898,31.64563961256492,1.1438875036319505,0.7062391871358716,1.1460378783472207,1.0,0.97
4d,9211,0.73,16208,5.0,24,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,50,8,2.289925381979171,1.0,1.0,,,,,,,,,1.0,1.0,0.97,11.10613810259898,20.953496467168915,1.1438875036319505,0.7062391871358716,1.1460378783472207,1.0,0.97
4d,9212,0.46,16580,5.0,12,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,50,8,1.4777273129784447,1.0,1.0,,,,,,,,,1.0,1.0,0.97,7.166977467945457,10.878704706955451,0.7366470791989368,0.4539417619444077,0.7410802337795079,1.0,0.97
4d,9213,0.54,16580,5.0,4,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,50,8,1.7347233674094786,1.0,1.0,,,,,,,,,1.0,1.0,0.97,8.41340833193597,5.023941840962133,0.8647596147117953,0.5328881553260438,0.8699637526976833,1.0,0.97
4d,9214,0.19,16580,5.0,6,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0.0,0.0,50,8,0.6103656292737054,1.0,1.0,,,,,,,,,1.0,1.0,0.97,2.9602733019774714,5.29476198051459,0.3042672718430391,0.18749768428138577,0.3060983574306663,1.0,0.97
4d,9219,0.24,8620,5.0,5,5,1.0,12,paved,5.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,20,8,0.38819564988780136,1.0,1.09,,,,,,,,,1.0,1.0,1.1118000000000001,2.157979617726288,4.023479622642742,0.20538412200891826,0.13371188874093512,0.1828115278788831,1.0,1.02
4d,9220,0.18,8620,5.0,4,5,1.0,12,paved,5.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,20,8,0.29114673741585106,1.0,1.09,,,,,,,,,1.0,1.0,1.1118000000000001,1.6184847132947164,3.181709525744159,0.1540380915066887,0.10028391655570136,0.13710864590916236,1.0,1.02
4d,9222,0.11,6136,5.0,6,5,1.0,12,paved,8.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,0.0,20,8,0.1245594606716973,1.0,1.0,,,,,,,,,1.0,1.0,1.02,0.6352532494256563,3.5910050021842665,0.06797144689775073,0.045533382470519614,0.05658801377394658,1.0,1.02
